countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BG,Bulgaria,101613,Achtopol,1001409,Agata Beach,ThreeStar,"37, Cherno more Str 8280 Ahtopol ",,"Located on the Bulgarian seaside, next to a small beach, has a terrace with a panoramic view of the Ahtopol Bay. You can use 2 whirlpools .Some rooms are only 3 meters from the beachfront.

Agata Beach - Adult Only Boutique offers air-conditioned rooms with free Wi-Fi and private balconies, most with Black Sea views. Each room includes a minibar and a flat-screen cable TV. The bathroom comes with a hairdryer and bathrobes.

Ahtopol is located on a rocky peninsula at the foot of Mount Strandja.

For stays of 4 nights or more, you will receive a fruit basket and a bottle of sparkling wine in your room upon arrival. Please inform Agata Beach - Adult Only in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
As a result of Coronavirus (COVID-19), this property has temporarily suspended its shuttle services.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Hot tub/jacuzzi is closed from Sun 15 Oct 2023 until Fri 31 May 2024",+35959062288,Fruits Pet basket Pet bowls coffee house on site sun loungers or beach chairs Outdoor furniture Beach Shuttle service 24-hour security Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed mobile app for room service invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay Parking Pets allowed 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Family rooms breakfast in the room Free parking internet services express check-in/check-out Safety Deposit Box Hot tub/jacuzzi Soundproof rooms Heating wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar Sun terrace Private check-in/check-out shuttle service (additional charge) vending machine (drinks) vending machine (snacks) airport shuttle (additional charge) Lockers Beachfront Daily housekeeping wifi available in all areas Street parking Wine/champagne breakfast takeaway containers delivered food is securely covered,42.10161|27.94441,+359887990072,8280,https://www.booking.com/hotel/bg/agata-beach.html
BG,Bulgaria,101613,Achtopol,1351349,Hotel Eskada Beach All Inclusive,ThreeStar,1 G.Kondolov Str 8280 Ahtopol ,,"The all-inclusive Hotel Eskada Beach is located on the main promenade of Ahtopol, only a few metres away from the wonderful beach.

The comfortable and cosy rooms, studios and apartments are stylishly furnished and equipped with air conditioning. Some units have balconies offering beautiful sea views.

Enjoy traditional Bulgarian cuisine as well as other delicious specialities in the hotels restaurant.

Hotel Eskada Beach offers swimming pools for adults and children, a 24-hour supermarket, a lobby bar, a guarded parking lot, childrens entertainment programmes, and 24-hour security.

Ahtopol is located on a very picturesque stretch of coastline, between the slopes of the Strandza Mountain and the crystal-clear waters of the Black Sea. It is the southernmost city on the Bulgarian coast, located 90 km south of Burgas. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
As a result of Coronavirus (COVID-19), this property has temporarily suspended its shuttle services.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Please inform Hotel Eskada Beach in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",+35959062035,kids' outdoor play equipment secured parking Street parking Infinity pool Parking Restaurant Bar 24-hour front desk Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Fishing Family rooms Games room Free parking internet services lift express check-in/check-out Safety Deposit Box Currency exchange children's playground Table tennis Hot tub/jacuzzi Hiking Packed lunches Car hire Tour desk Heating Fax/photocopying Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area outdoor pool (seasonal) shuttle service (additional charge) airport shuttle (additional charge) Lockers kids' club minimarket on site Daily housekeeping wifi available in all areas water slide Swimming pool toys board games/puzzles Indoor play area Pool with view Heated pool Salt-water pool Pool Bar Shallow end airport pick up airport drop off coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Fence around pool Fitness kids' pool Swimming pool Shuttle service 24-hour security Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities cashless payment available invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay,42.10183|27.93969,+359887147100,8280,https://www.booking.com/hotel/bg/eskada-beach.html
BG,Bulgaria,101613,Achtopol,1433785,Family Hotel Kaylas,TwoStar,Neptun Str. 20 8280 Ahtopol ,,"Offering a restaurant and a lobby bar, Family Hotel Kaylas is located in Ahtopol, only 20 metres from the nearest rocky beach. Free WiFi access and free public parking are available.

All units at Family Hotel Kaylas are air-conditioned and feature a TV with satellite channels. Most of the rooms have a balcony with sea views. There is also a refrigerator in each room. Private bathrooms are fitted with a shower and towels.

Guests can relax and enjoy their meals in the restaurant´s outdoor seating area. The closest grocery store is reachable within a 2-minute walk.

The central beach in Ahtopol is located 800 metres from the hotel. Burgas Airport is 63 km away. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Free self parking Restaurant Bar/lounge Garden Non-smoking rooms Family rooms Internet access Chapel/shrine Free WiFi Free WiFi Air conditioning Designated smoking areas Private check-in/check-out Parking onsite Street parking,42.09712|27.945,,8280,https://www.booking.com/hotel/bg/atm-neptun-ahtopol.html
BG,Bulgaria,101613,Achtopol,1524179,Agatopolis Villa,OneStar,Rezvaya Str. 6 8280 Ahtopol ,,"Set 400 metres from the Central Beach in Ahtopol, Agatopolis Villa features a lush garden with barbecue facilities and en-suite rooms with balcony.

Each room at the villa comes with a refrigerator, cable TV and a private bathroom with shower. The balconies are fitted with a seating area and rooms of the ground floors have a patio. WiFi is available in public areas.

Grocery stores and restaurants can be found in the centre of Ahtopol, 100 metres away.

The bus stop is 200 metres away and it is 5 km to the Veleka River. A shuttle service to Burgas Sarafovo Airport, 80 km away, can be arranged on request. A deposit via bank wire is required to secure your reservation. Agatapolis Villa will contact you with instructions after booking.",,Luggage storage Free WiFi Free WiFi Air conditioning Designated smoking areas Airport transportation (surcharge) Shared kitchen Free self parking 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Facilities for disabled guests Family rooms Internet access BBQ facilities Heating,42.09774|27.94005,+359887817122,8280,https://www.booking.com/hotel/bg/agatopolis-villa.html
BG,Bulgaria,101613,Achtopol,1564975,The Colourful Mansion Hotel,TwoStar,1 Patriarh Evtimii Str. 8280 Ahtopol ,,"Within a 5-minute walk from the beach in Ahtopol, The Colourful Mansion Hotel features free Wi-Fi access, a bar and air conditioning in the rooms. The inner court with a garden offers seating facilities.

Individually decorated, the lodgings at the hotel The Colourful Mansion also come with a fridge and a private bathroom with a shower and free toiletries. Each enjoys a balcony with views of the garden, while some are overlooking the town and the sea.

The Colourful Mansion Hotel can organize a boat tour or a fishing trip at a surcharge. Guests can also enjoy hiking in the nearby mountains.

You can park in front of the premises. The villages of Varvara and Sinemorets, as well as the river Veleka are a 7-minute drive away. Silistar beach is a 15-minute drive away. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.",,Parking Bar 24-hour front desk Garden Terrace Non-smoking rooms Airport shuttle Family rooms Free parking internet services Safety Deposit Box Valet parking Horse riding Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Private check-in/check-out airport shuttle (additional charge) Daily housekeeping parking on site wifi available in all areas board games/puzzles Street parking airport pick up airport drop off coffee house on site Sun umbrellas Outdoor furniture Beach Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available invoice provided all plates  cutlery  glasses and other tableware have been sanitized,42.09819|27.93892,,8280,https://www.booking.com/hotel/bg/colourful-mansion.html
BG,Bulgaria,101613,Achtopol,1565000,Family Hotel Maritime,TwoStar,17 Vasil Levski Street 8280 Ahtopol ,,"Family Hotel Maritime is located a 5-minute walk from Ahtopols centre, 200 metres from the closest beach. Free WiFi is provided in public areas.

All the air-conditioned rooms at the Maritime come with modern furniture, cable TV, a minibar and a balcony. A bathroom with a shower is standard in all rooms.

A shared lounge with a library is provided as well. Fishing is possible nearby and guests can park their cars at the street in front of the guest house. Shuttle and car rental services can be requested on spot. The closest grocery  store is 150 metres away. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Please inform Family Hotel Maritime in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
As a result of Coronavirus (COVID-19), this property has temporarily suspended its shuttle services.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.",,Terrace Non-smoking rooms Family rooms internet services Safety Deposit Box Luggage storage wifi Free WiFi Air conditioning Private check-in/check-out use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed physical distancing rules followed guests have the option to cancel any cleaning services for their accommodation during their stay,42.10065|27.93797,,8280,https://www.booking.com/hotel/bg/familyhotel-maritimie.html
BG,Bulgaria,101613,Achtopol,1565008,Neven Hotel,FourStar,Neptun Street 3 8280 Ahtopol ,,"The Neven hotel is located in the Lazur district on the beach of the marina of Ahtopol. The coastal town of Ahtopol is picturesquely situated at the foothills of the Strandzha national park.

Each room at this hotel is air conditioned and has a TV. Certain units have a seating area for your convenience. Certain rooms feature views of the sea or pool. All rooms have a private bathroom. Extras include free toiletries and a hairdryer. Neven Hotel features free WiFi throughout the property.

You will find a 24-hour front desk at the property.

The area is popular for diving and cycling. Primorsko is 31 km from Neven Hotel, while Duni is 44 km away. Burgas Airport is 89 km from the property.",,Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Sauna Fitness centre Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Family rooms Free parking internet services lift Safety Deposit Box Table tennis Hot tub/jacuzzi Chapel/shrine Cycling Heating Fax/photocopying Diving wifi Outdoor pool Free WiFi Air conditioning Sun terrace outdoor pool (seasonal) shuttle service (additional charge) Beachfront parking on site wifi available in all areas Swimming pool Beach Shuttle service Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool,42.0974|27.94489,+35959062050,8280,https://www.booking.com/hotel/bg/neven.html
BG,Bulgaria,100593,Aheloy,1033497,Vineyards Spa Hotel,FourStar,Aheloy Pomorie ,,"The Vineyards Boutique Hotel & SPA boasts 2 outdoor swimming pools, one of which is a childrens pool, a pool bar, spa and wellness area, tour desk and shops and supermarkets. It is 4 km from Aheloys beaches.

Modern rooms at The Vineyards Boutique Hotel & SPA are air conditioned and have a minibar, balcony with pool views and flat-screen cable TV. Bathrooms come with a hairdryer, free toiletries and a bath.

The main restaurant serves Bulgarian and Mediterranean cuisine. There is also an English-style pub offering sandwiches, pizzas and barbecued treats. Drinks are also served at the lobby bar and breakfast is available.

Deck chairs and umbrellas are provided at the pool. The hotel also has a doctor on site.

An indoor pool containing mineral water is a highlight of the spa area. There are also several saunas, a hot tub, a Russian Bath and ice room. Massages, mud treatments, manicures and haircuts are also available.

Guests can make use of the games room, table football, fitness centre, table tennis, billiards and computer room. There is also a childrens entertainment room with supervised care.

Car rental, tours and tickets for popular activities in the area can be arranged at the tour desk.",,Swimming pool toys board games/puzzles Indoor play area kids' outdoor play equipment Baby safety gates Kid-friendly buffet electric vehicle charging station Accessible parking Wheelchair accessible Emergency cord in bathroom Infinity pool Pool with view Plunge pool Pool Bar Shallow end Wine/champagne Fruits airport pick up airport drop off Pet basket Pet bowls coffee house on site sun loungers or beach chairs Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (seasonal) concierge service Entertainment staff Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) Lockers kids' club minimarket on site Daily housekeeping parking on site Private parking wifi available in all areas Car hire Tour desk hammam Heating Fax/photocopying Luggage storage wifi Outdoor pool Currency exchange Spa and wellness centre Massage children's playground Billiards Darts Hot tub/jacuzzi Soundproof rooms BBQ facilities Packed lunches Spa/wellness packages Sun umbrellas Outdoor furniture Picnic area Beauty Services Facial treatments Waxing services Manicure Pedicure hair cut hair colouring hair styling Body Treatments Body scrub Body wrap Spa Facilities Steam room Spa lounge/relaxation area Foot bath staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided property is cleaned by professional cleaning companies all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available Head massage Foot massage Neck massage Back massage food can be delivered to guest accommodation physical distancing in dining areas guest accommodation sealed after cleaning guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus bicycle rental Swimming pool Fire extinguishers CCTV outside property CCTV in common areas Smoke alarms Security alarm Key card access Key access 24-hour security Live music/performance Happy hour Themed dinner nights Bike tours Walking tours Shuttle service Swimming pool kids' pool fitness/spa locker rooms Fitness Full body massage Valet parking Safety Deposit Box express check-in/check-out lift internet services Free parking Ironing service Games room Family rooms Barber/beauty shop Facilities for disabled guests dry cleaning Laundry babysitting/child services Business centre Airport shuttle Non-smoking rooms Terrace Garden Fitness centre Sauna 24-hour front desk Bar meeting/banquet facilities Room service Pets allowed Restaurant Parking,42.64664|27.61609,,8210,https://www.booking.com/hotel/bg/vineyards.html
BG,Bulgaria,100593,Aheloy,1341616,Marina Cape Apartments,FourStar,Aheloy RAVDA ,Restaurant in the village: within 1000 metre  Restaurant in Marina Cape: within 50 metre  Supermarket in complex: within 50 metre ,"It offers a unique blend of luxury, comfort, compelling sea views, quality services, entertainment and all the comforts of the modern world, one can expect both for families with children and groups of friends. Located just five minutes from Sunny Beach, Nessebar and Pomorie, and only 19 km from the international airport of Burgas.",+35959620014,Hotel Bathroom Shower TV Kitchen Fridge Individually adjustable air conditioning Balcony Terrace Launderette Lift access Shop Garden Gym Bar Restaurant Air conditioning in Restaurant Sun loungers Parasols Kids club Pub Sauna Massage Spa treatments,42.637049525992886|27.654377311206076,+35959620000,8217,http://marinacape.com
BG,Bulgaria,100593,Aheloy,1521721,The Vineyards Spa & Resort,FourStar,The Vineyards Resort Pomorie ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Aqua Paradise - 7.2 km / 4.5 mi <br /> Ravda Central Beach - 7.4 km / 4.6 mi <br /> Nessebar Stadium - 9.7 km / 6.1 mi <br /> Nessebar South Beach - 9.8 km / 6.1 mi <br /> Sunny Beach South - 10 km / 6.2 mi <br /> Sunny Beach - 10.9 km / 6.8 mi <br /> Old Nessebar Windmill - 11.3 km / 7 mi <br /> Archaeological Museum - 11.4 km / 7.1 mi <br /> Nessebar Old Town Beach - 11.7 km / 7.2 mi <br /> Pomorie Lake - 11.7 km / 7.3 mi <br /> Church of Christ Pantocrator - 11.7 km / 7.3 mi <br /> Church of St John Aliturgetos - 11.7 km / 7.3 mi <br /> Nessebar Ethnographic Museum - 11.7 km / 7.3 mi <br /> Byzantine Baths Complex - 11.7 km / 7.3 mi <br /> Sveti Spas Church - 11.7 km / 7.3 mi <br /> </p><p>The preferred airport for The Vineyards Spa & Resort is Bourgas (BOJ) - 17.3 km / 10.8 mi </p>,"<p>HeadLine : Near the beach</p><p>Location : With a stay at The Vineyards Spa & Resort in Pomorie, you ll be near the beach, within a 15-minute drive of Sunny Beach and Aqua Paradise.  This 4-star hotel is 7.7 mi (12.4 km) from Action Aquapark and 4.6 mi (7.4 km) from Ravda Central Beach.</p><p>Rooms : Make yourself at home in one of the 52 air-conditioned rooms featuring rooftop private spa tubs and flat-screen televisions. Rooms have private furnished balconies. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Conveniences include phones, as well as separate sitting areas and minibars.</p><p>Dining : Enjoy Middle Eastern cuisine at Lebanese cusine, one of the hotel s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. A complimentary buffet breakfast is served daily from 8 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 48 hours prior to arrival, using the contact information on the booking confirmation. If you are planning to arrive after 10:30 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",359-554-70377,Dry cleaning/laundry service Free long-term parking Lockers available Pool umbrellas Free wired Internet Free WiFi 24-hour business center Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 2 Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free Buffet Breakfast Airport transportation (surcharge) Wheelchair-accessible on-site restaurant Free breakfast Daily Coffee/tea in common areas Laundry facilities elevator Children's club (free) Fitness facilities Supervised childcare/activities (free) secured parking Covered parking secured parking Uncovered parking Wheelchair accessible (may have limitations) Covered parking Wheelchair-accessible concierge desk Food and water bowls Uncovered parking Meeting rooms Wheelchair-accessible path to elevator Wheelchair-accessible registration desk Health club Spa treatment room(s) Garden Full-service spa Wedding services Free area shuttle Luggage storage Free bus station shuttle 24-hour front desk Playground on site Spa services on site Outdoor seasonal pool Safe-deposit box at front desk Smoke-free property Children's pool Sauna Steam room Free self parking Access to nearby indoor pool Terrace Access to nearby outdoor pool Pool sun loungers Concierge services,42.646639|27.616096,+35959629966,8217,http://www.vineyards-resort.com
