countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
VN,Vietnam,105117,Bac Giang,1438512,Muong Thanh Grand Bac Giang Hotel,ThreeStar,3 2 Square Hoang Van Thu Str Ngo Quyen Ward Hoang Van Thu StreetNgo Quyen WardBac Giang ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kinh B?c Cultural Center - 20.7 km / 12.9 mi <br /> Bac Ninh Museum - 20.8 km / 12.9 mi <br /> Himlam plaza - 21.7 km / 13.5 mi <br /> Vincom Bac Ninh - 22.2 km / 13.8 mi <br /> Parks Nguyen Van Cu - 22.3 km / 13.8 mi <br /> Suoi Mo Resort - 32.1 km / 19.9 mi <br /> BRG Legend Hill Golf Resort - 45.9 km / 28.5 mi <br /> Aeon Mall - 48.3 km / 30 mi <br /> Co Loa Citadel - 48.8 km / 30.3 mi <br /> Khuon Than Lake - 51.3 km / 31.9 mi <br /> Thang Long Ca Tru Theatre - 51.7 km / 32.1 mi <br /> Thanh Chuong Viet Palace - 51.9 km / 32.2 mi <br /> The Old Quarter Gallery - 51.9 km / 32.3 mi <br /> Ceramic Road - 52 km / 32.3 mi <br /> </p><p>The preferred airport for Muong Thanh Grand Bac Giang Hotel is Noi Bai Intl. Airport (HAN) - 53.2 km / 33 mi </p>,"<p>HeadLine : In the city center</p><p>Location : With a stay at Muong Thanh Grand Bac Giang Hotel, you ll be centrally located in Bac Giang, 12.9 mi (20.7 km) from Kinh B?c Cultural Center and 12.9 mi (20.8 km) from Bac Ninh Museum.  This hotel is 13.5 mi (21.7 km) from Himlam plaza and 13.8 mi (22.2 km) from Vincom Bac Ninh.</p><p>Rooms : Make yourself at home in one of the 195 air-conditioned rooms featuring private plunge pools and flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy Fusion cuisine at An Chau, a bar/lounge where you can take in the garden view, or stay in and take advantage of the 24-hour room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a smoke detector, a security system, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",84-204-3844555,Airport transportation (surcharge) Luggage storage Porter/bellhop Multilingual staff Business center 24-hour front desk Safe-deposit box at front desk Ecotours nearby Snack bar/deli Number of coffee shops/cafes - 1 Laundry facilities Sauna Steam room elevator Dry cleaning/laundry service Wheelchair accessible (may have limitations) Reception hall Free WiFi Number of bars/lounges - 1 Designated smoking areas Garden In-room accessibility (in select rooms) Bicycle rentals nearby Wedding services Tours/ticket assistance Fitness classes on site Fitness facilities Conference space Pool sun loungers Concierge services,21.281078|106.20235,84-204-3542888,,http://bacgiang.muongthanh.vn/en/home.html
VN,Vietnam,105117,Bac Giang,1752508,Ravatel Inn Hotel,ThreeStar,1B Thanh Nien Le Loi Ward Le Loi WardBac Giang ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Hoàng Hoa Thám Park - 0.5 km / 0.3 mi <br /> Xujiang Temple - 3.8 km / 2.3 mi <br /> Vinh Nghiem Temple - 17.3 km / 10.7 mi <br /> Bon Da Temple - 19 km / 11.8 mi <br /> Kinh B?c Cultural Center - 19.1 km / 11.9 mi <br /> Vincom Bac Ninh - 20.8 km / 12.9 mi <br /> Parks Nguyen Van Cu - 20.8 km / 13 mi <br /> Himlam plaza - 21 km / 13 mi <br /> Suoi Mo Resort - 35.2 km / 21.9 mi <br /> Almaz Center - 44.6 km / 27.7 mi <br /> Aeon Mall - 46.8 km / 29.1 mi <br /> BRG Legend Hill Golf Resort - 47.1 km / 29.3 mi <br /> Co Loa Citadel - 47.4 km / 29.4 mi <br /> Ancient House - 50.4 km / 31.3 mi <br /> Denmark Embassy - 50.6 km / 31.4 mi <br /> </p><p>The nearest major airport is Noi Bai Intl. Airport (HAN) - 51.7 km / 32.1 mi</p>,"<p>HeadLine : Near Hoàng Hoa Thám Park</p><p>Location : With a stay at Ravatel Luxury Hotel Bac Giang in Bac Giang, you ll be 2.6 mi (4.1 km) from Xujiang Temple and 10.7 mi (17.3 km) from Vinh Nghiem Temple.  This hotel is 11.8 mi (19 km) from Bon Da Temple and 21.9 mi (35.2 km) from Suoi Mo Resort.</p><p>Rooms : Make yourself at home in one of the 161 air-conditioned rooms featuring minibars and flat-screen televisions. Your memory foam bed comes with down comforters and Egyptian cotton sheets. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have complimentary toiletries and bidets.</p><p>Dining : Enjoy Chinese cuisine at Nhà Hàng ?m Th?c Trung Ho, one of the hotel s 3 restaurants, or stay in and take advantage of the room service (during limited hours). Snacks are also available at the coffee shop/cafe. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Buffet breakfasts are served on weekdays from 6:00 AM to 9:00 AM and on weekends from 6:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",84-204-789999,Steam room Free WiFi Sauna Number of coffee shops/cafes - 1 Swimming pool Children's pool Safe-deposit box at front desk Free area shuttle Spa services on site Terrace Luggage storage Wheelchair accessible  no Breakfast available (surcharge) Concierge services Designated smoking areas Laundry facilities Playground on site Free bicycles on site Coffee/tea in common areas Number of indoor pools - 2 Designated smoking areas (fines apply) Television in common areas elevator Scooter/moped rentals on site Karaoke Garden Fitness facilities Multilingual staff Number of bars/lounges - 1 Number of poolside bars - 1 Access to nearby indoor pool 24-hour front desk Business center Porter/bellhop Express check-out Meeting rooms Tours/ticket assistance Free self parking Dry cleaning/laundry service,21.267814|106.203246,84-204-948682968,230000,http://ravatelinn.vn
VN,Vietnam,105117,Bac Giang,1763079,Ravatel Home Hotel,ThreeStar,1A Thanh Nien Street Le Loi Ward Bac Giang City ,,"Located in B?c Giang, 47 km from Aeon Mall Long Bien, Ravatel Home Bac Giang provides accommodation with free bikes, free private parking, a fitness centre and a garden. Featuring a terrace, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The hotel features an indoor pool, sauna and room service.

All units are equipped with a flat-screen TV with satellite channels, minibar, a kettle, a shower, free toiletries and a desk. Some rooms here will provide you with a kitchen with a fridge and a stovetop. At the hotel every room is fitted with bed linen and towels.

An Asian, vegetarian or vegan breakfast is available daily at the property. At Ravatel Home Bac Giang you will find a restaurant serving Chinese, Sichuan and Vietnamese cuisine. Vegetarian, dairy-free and vegan options can also be requested.

The area is popular for cycling, and car hire is available at this 3-star hotel.

Speaking English, Korean, Vietnamese and Chinese at the 24-hour front desk, staff are ready to help around the clock.

The nearest airport is Noi Bai International, 51 km from the accommodation, and the property offers a paid airport shuttle service. Please inform Ravatel Home Bac Giang in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Parking Restaurant Room service Safety Deposit Box Valet parking Massage Karaoke Hot tub/jacuzzi Soundproof rooms Packed lunches Car hire meeting/banquet facilities Cycling Bar Tour desk Heating Fax/photocopying Luggage storage wifi Allergy-free room Indoor pool 24-hour front desk Sauna Fitness centre Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Business centre babysitting/child services Laundry dry cleaning Family rooms Ironing service Free parking internet services lift express check-in/check-out Free WiFi Air conditioning designated smoking area Snack Bar indoor pool (all year) concierge service Private check-in/check-out shuttle service (free) shuttle service (additional charge) Special diet menus (on request) Trouser press airport shuttle (additional charge) Lockers minimarket on site Evening entertainment Daily housekeeping grocery deliveries parking on site Private parking Baby safety gates Kid meals Heated pool Wine/champagne Fruits fitness classes Personal trainer fitness/spa locker rooms kids' pool Swimming pool Shuttle service Themed dinner nights 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests airport pick up airport drop off coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Steam room Spa lounge/relaxation area Foot bath Spa/wellness packages Head massage Full body massage Fitness first aid kit available invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,21.26741|106.20331,842043505152,230000,https://www.booking.com/hotel/vn/ravatel-home.html
VN,Vietnam,148853,Bac Liêu,1460539,Tran Vinh Hotel,ThreeStar,85 87 Hai Ba Trung St. Ward 3  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Thai Duong Solar Clock - 0.5 km / 0.3 mi <br /> Ngoc Lien Memorial - 1.6 km / 1 mi <br /> H? Nam - 3 km / 1.9 mi <br /> Soc Trang Museum - 51 km / 31.7 mi <br /> Bat Pagoda - 51 km / 31.7 mi <br /> Hung Vuong Roundabout - 51 km / 31.7 mi <br /> Khmer Museum - 51.3 km / 31.9 mi <br /> Khleang Pagoda - 51.3 km / 31.9 mi <br /> Clay Pagoda - 51.8 km / 32.2 mi <br /> </p><p>The preferred airport for Tran Vinh Hotel is Can Tho (VCA) - 118.4 km / 73.6 mi </p>,"<p>HeadLine : Near Thai Duong Solar Clock</p><p>Location : With a stay at Tran Vinh Hotel in Bac Lieu, you ll be within a 5-minute drive of Thai Duong Solar Clock and Ngoc Lien Memorial.  This hotel is 1.8 mi (3 km) from H? Nam and 31.7 mi (51 km) from Soc Trang Museum.</p><p>Rooms : Make yourself at home in one of the 41 guestrooms featuring refrigerators and minibars. Flat-screen televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Bathrooms have complimentary toiletries and slippers. Conveniences include phones, as well as complimentary newspapers and complimentary bottled water.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). A complimentary cooked-to-order breakfast is served daily from 6:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",84-291-3777444,Dry cleaning/laundry service Daily Spa services on site Free parking nearby Free breakfast Free self parking 24-hour front desk Wheelchair accessible path of travel Free Cooked-to-Order Breakfast Free WiFi,9.287272|105.726641,84-291-3777444,,http://tranvinhhotelbaclieu.com/
VN,Vietnam,148853,Bac Liêu,1460703,Resort Nha Mat,ThreeStar,Khu Du Lich Nha Mat Nha Mat Ward Khu Du Lich Nha MatNha Mat WardBac Lieu ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Ngoc Lien Memorial - 8.4 km / 5.2 mi <br /> Thai Duong Solar Clock - 9.8 km / 6.1 mi <br /> H? Nam - 13.6 km / 8.5 mi <br /> </p><p>The preferred airport for Resort Nha Mat is Can Tho (VCA) - 127.7 km / 79.3 mi </p>,"<p>HeadLine : In Bac Lieu</p><p>Location : With a stay at Resort Nha Mat in Bac Lieu, you ll be within a 15-minute drive of Ngoc Lien Memorial and Thai Duong Solar Clock.  This resort is 8.5 mi (13.6 km) from H? Nam.</p><p>Rooms : Make yourself at home in one of the 45 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and slippers. Conveniences include phones, as well as desks and complimentary bottled water.</p><p>Dining : Enjoy Vietnamese cuisine at Am Thuc Nha Mat, one of the resort s 2 restaurants, or stay in and take advantage of the room service (during limited hours). Wrap up your day with a drink at the bar/lounge. A complimentary cooked-to-order breakfast is served daily from 7 AM to 9 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",84-292-3989144,Dry cleaning/laundry service Wheelchair accessible  no Luggage storage Free breakfast 24-hour front desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Daily Number of outdoor pools - 1 Garden Safe-deposit box at front desk Tours/ticket assistance Free self parking Water park Waterslide Free Cooked-to-Order Breakfast,9.204686|105.744562,84-292-3989144,,
VN,Vietnam,148853,Bac Liêu,1489130,Ho Nam Resort,ThreeStar,2 Tran Quang Dieu Street Clusters 10 Ward 1 Clusters 10Ward 1Bac Lieu ,,"Offering an outdoor pool and views of the lake, Ho Nam Resort is set in B?c Liêu. Guests can enjoy the on-site restaurant.

Every room at this resort is air conditioned and features a flat-screen cable TV and wardrobe. Certain rooms feature a seating area where you can relax. You will find a kettle in the room. Every room is equipped with a private bathroom fitted with a shower and bidet. Extras include slippers, free toiletries and a hairdryer.

There is a 24-hour front desk at the property where staff can assist guests with luggage storage.",847813896888,Parking Restaurant meeting/banquet facilities 24-hour front desk Garden Non-smoking rooms Fishing Family rooms Free parking internet services Massage Karaoke Luggage storage wifi Outdoor pool Free WiFi parking on site wifi available in all areas Swimming pool,9.30518|105.73101,+847813896896+847813896888,0781,https://www.booking.com/hotel/vn/ho-nam-resort.html
VN,Vietnam,148853,Bac Liêu,1759650,Dream Palace Hotel,ThreeStar,9 Cai Day Hamlet Chau HungVinh LoiBac Lieu ,,"Set in B?c Liêu and with Bac Lieu Bird Sanctuary reachable within 9 km, Dream Palace Hotel offers concierge services, non-smoking rooms, a garden, free WiFi and a terrace. This 3-star hotel offers a 24-hour front desk and ticket service. Certain rooms at the property have a balcony with a garden view.

At the hotel, every room comes with a desk. The private bathroom is equipped with free toiletries. The units come with a flat-screen TV with satellite channels.",,Free self parking Meeting rooms 24-hour front desk Sauna Garden Terrace Non-smoking rooms Airport shuttle Family rooms Internet access Elevator/lift Massage Library BBQ facilities Tour desk Tours/ticket assistance Free WiFi Free WiFi Air conditioning Concierge services Area shuttle (surcharge) Airport transportation (surcharge) Parking onsite Private parking Public Bath Street parking,9.31596|105.71916,,,https://www.booking.com/hotel/vn/dream-palace.html
VN,Vietnam,148853,Bac Liêu,1760591,Hoang Gia Hotel,OneStar,47 Tran Huynh Bac Liêu ,,"Located in B?c Liêu, 7 km from Bac Lieu Bird Sanctuary, Hoang Gia Hotel provides accommodation with free WiFi and free private parking. Featuring room service, this property also provides guests with a terrace. The hotel features family rooms.

Guest rooms in the hotel are equipped with a kettle. At Hoang Gia Hotel each room is equipped with a wardrobe, a flat-screen TV and a private bathroom.

The nearest airport is Can Tho International Airport, 118 km from the accommodation.",,Luggage storage Room service internet services wifi Free parking Non-smoking rooms Terrace Private parking Laundry Family rooms Parking Free WiFi On-site parking Air conditioning,9.29299|105.71777,,,https://www.booking.com/hotel/vn/hoang-gia-bac-lieu.html
VN,Vietnam,150345,Bac Ninh,1545284,Center Hotel Bac Ninh,ThreeStar,28 Kinh Duong Vuong Vu Ninh Ward Vu Ninh WardBac NinhBac Ninh ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Kinh B?c Cultural Center - 0.5 km / 0.3 mi <br /> Vincom Bac Ninh - 1.5 km / 0.9 mi <br /> Parks Nguyen Van Cu - 2.2 km / 1.3 mi <br /> Co Loa Citadel - 28.2 km / 17.5 mi <br /> Aeon Mall - 29.1 km / 18.1 mi <br /> The Old Quarter Gallery - 31.3 km / 19.4 mi <br /> Ha Noi Gallery - 31.5 km / 19.6 mi <br /> Dong Kinh Nghia Thuc Square - 31.6 km / 19.6 mi <br /> Hang Ma Street - 31.7 km / 19.7 mi <br /> Vietnam Revolution Museum - 32 km / 19.9 mi <br /> Vietnamese National Tuong Theatre - 32 km / 19.9 mi <br /> Hang Dau Water Tower - 32.1 km / 19.9 mi <br /> Hang Da Market - 32.1 km / 20 mi <br /> Train Street - 32.2 km / 20 mi <br /> Lý Thái T? Monument - 32.5 km / 20.2 mi <br /> </p><p>The nearest major airport is Noi Bai Intl. Airport (HAN) - 35.1 km / 21.8 mi</p>,"<p>HeadLine : Near Kinh B?c Cultural Center</p><p>Location : With a stay at Center Hotel Bac Ninh in Bac Ninh, you ll be within a 5-minute drive of Kinh B?c Cultural Center and Vincom Bac Ninh.  This hotel is 22.1 mi (35.6 km) from O Quan Chuong Gate and 22.2 mi (35.7 km) from Hoan Kiem Lake.</p><p>Rooms : Make yourself at home in one of the 50 air-conditioned rooms featuring minibars and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and slippers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Noise-free guestrooms cannot be guaranteed</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",84-222-3989989,Dry cleaning/laundry service Covered parking Airport transportation (surcharge) secured parking Wheelchair accessible  no Luggage storage Number of meeting rooms - 1 24-hour front desk Free WiFi Number of bars/lounges - 1 Designated smoking areas Safe-deposit box at front desk Laundry facilities Free newspapers in lobby Tours/ticket assistance elevator Free self parking Fitness facilities Computer station Area shuttle (surcharge) Access to nearby outdoor pool,21.183266|106.082421,84-222-3989989,,http://centerhotelbacninh.com
VN,Vietnam,150345,Bac Ninh,1556585,Khach san Hoang Gia Bac Ninh,ThreeStar,Nguyen Van Cu Str Vo Cuong Ward Phuong Vo CuongBac NinhBac Ninh ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Parks Nguyen Van Cu - 3.3 km / 2.1 mi <br /> Vincom Bac Ninh - 3.7 km / 2.3 mi <br /> Kinh B?c Cultural Center - 4.8 km / 3 mi <br /> Co Loa Citadel - 23.8 km / 14.8 mi <br /> Aeon Mall - 24.9 km / 15.5 mi <br /> Ha Noi Gallery - 26.3 km / 16.3 mi <br /> Dong Kinh Nghia Thuc Square - 26.4 km / 16.4 mi <br /> Thang Long Water Puppet Theatre - 26.5 km / 16.5 mi <br /> Hoan Kiem Lake Weekend Walking Street - 26.5 km / 16.5 mi <br /> Ta Hien Street - 26.5 km / 16.5 mi <br /> Dong Xuan Market - 26.5 km / 16.5 mi <br /> Ngoc Son Temple - 26.5 km / 16.5 mi <br /> Vietnam Revolution Museum - 26.8 km / 16.6 mi <br /> Vietnamese National Tuong Theatre - 26.8 km / 16.6 mi <br /> Hanoi Old Town Night Market - 26.8 km / 16.7 mi <br /> </p><p>The preferred airport for Khach san Hoang Gia Bac Ninh is Noi Bai Intl. Airport (HAN) - 33.6 km / 20.9 mi </p>,"<p>HeadLine : Near Parks Nguyen Van Cu</p><p>Location : With a stay at Khach san Hoang Gia Bac Ninh in Bac Ninh, you ll be within a 5-minute drive of Parks Nguyen Van Cu and Vincom Bac Ninh.  This hotel is 16.7 mi (26.8 km) from O Quan Chuong Gate and 16.8 mi (27 km) from Hoan Kiem Lake.</p><p>Rooms : Make yourself at home in one of the 88 air-conditioned rooms featuring minibars and LCD televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy international cuisine at Jess Café Restaurant, one of the hotel s 2 restaurants, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. A complimentary breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",84-241-3692889,Gift shops or newsstand Dry cleaning/laundry service Meeting rooms Number of meeting rooms - 1 Karaoke Television in common areas Free WiFi Number of bars/lounges - 1 Spa treatment room(s) Designated smoking areas Number of outdoor pools - 1 In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Area shuttle (surcharge) Yoga classes/instruction on site Rooftop terrace Luggage storage Free breakfast Outdoor tennis courts - 1 Porter/bellhop Multilingual staff 24-hour front desk Conference center Spa services on site Safe-deposit box at front desk Coffee/tea in common areas Sauna elevator Free self parking Fitness facilities Children's club (surcharge) Wheelchair accessible path of travel Concierge services,21.166092|106.044749,+84 241 3692888,,http://landmarkhotelbn.com.vn/en/home.html
