countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
LV,Latvia,101035,Apsuciems,1358431,Hotel Arkadia,ThreeStar,Engures Pag. Engures Nov. Tukuma Raj. JaunskumpjiApsuciemsTukuma Rajons ,,"The new Hotel SPA Arkadia is located in the village of Apsuciems, 60 km west of Riga and about 500 metres from the shores of the Baltic Sea.

Enjoying a location right by the meandering Lacupite River, this hotel features a spa centre offering professional massages and beauty treatments.

The Hotel SPA Arkadia also offers a restaurant, a bistro, conference facilities, a childrens playroom, a billiard room and a gym.",371 63143130,Parking meeting/banquet facilities Facilities for disabled guests Family rooms breakfast in the room Free parking internet services Massage children's playground wifi Free WiFi parking on site Private parking hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available,57.05645|23.31359,+37163143130,LV-3116,https://www.booking.com/hotel/lv/spa-arkadia.html
LV,Latvia,101597,Balvi,1418268,Balvi Hotel,All,Tautas iela 14 Balvi LV-4500 ,,"Located in the charming town of Balvi in eastern Latvia, this hotel offers budget accommodation with free Wi-Fi and TV. The on-site Café Laca kepas serves several types of breakfast.

The Balvi Hotel features a 24-hour front desk and free private parking facilities on the premises.

All the rooms are en suite, and include a practical work desk. Some rooms feature a microwave and a fridge for basic cooking needs. A tea/coffee maker is also provided to prepare in-room fresh coffee. The breakfast can be served in the room upon request.

Breakfast is available based on provided menu and no fixed price for breakfast applies.

The Balvi is within walking distance of both Lake Balvu and Lake Bolupe.",,Parking Restaurant Non-smoking rooms Family rooms Free parking internet services children's playground Billiards Heating wifi Free WiFi parking on site Private parking wifi available in all areas,57.12947|27.2613,371 29 365 071,LV-4500,https://www.booking.com/hotel/lv/balvi.html
LV,Latvia,110454,Bauska,1065199,Hotel Meotnes Palace,FourStar,"Meotnes Pils, Meotnes Pag., Bauskas Nov. Meotnes pagasts LV-3918Bauskas novads ",,"Surrounded by a large landscaped park, the carefully restored Hotel Meotnes Palace offers you historic-style rooms with period furniture and free Wi-Fi.

Each of the elegant rooms at the Meotnes Palace is equipped with a satellite TV, bathrobes, slippers and ironing facilities.

After a day of exploring the scenic Zemgale region guests can relax in the sauna or play a game of billiard.

The town of Bauska and the A7 motorway are about 15 km away from the Hotel Meotnes Palace.",37163960711,gift shop Family rooms Hiking airport shuttle (additional charge) wifi Packed lunches babysitting/child services Private parking Fax/photocopying Special diet menus (on request) Safety Deposit Box 24-hour front desk Parking Restaurant Shoeshine Laundry Terrace Room service Bridal suite Air conditioning Cycling lift On-site parking Non-smoking throughout Children television networks Free parking Kid meals Non-smoking rooms Heating Airport shuttle shuttle service (additional charge) internet services Car hire Bar express check-in/check-out Free WiFi breakfast in the room meeting/banquet facilities Daily housekeeping Billiards Luggage storage Entertainment staff Ironing service Garden Horse riding Sauna,56.43841|24.05262,(371) 63960711,LV-3918,https://www.booking.com/hotel/lv/mezotnes-pils.html
LV,Latvia,110454,Bauska,1065593,Rixwell Bauska Hotel,ThreeStar,Slimnicas Iela 7 Bauska LV-3901 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Korfa Darzs Park - 0.3 km / 0.2 mi <br /> Bauska Castle - 2.8 km / 1.7 mi <br /> Rundale Palace - 12.5 km / 7.8 mi <br /> St. Simeon and St. Anna Orthodox Church - 47.1 km / 29.3 mi <br /> Academica Petrina - 47.3 km / 29.4 mi <br /> </p><p>The preferred airport for Rija Bauska Hotel  is Riga (RIX-Riga Intl.) - 75.5 km / 46.9 mi </p>,"<p>HeadLine : Near Korfa Darzs Park</p><p>Location : A stay at Rija Bauska Hotel  places you in the heart of Bauska, just a 3-minute walk from Korfa Darzs Park and within a 5-minute drive of Bauska Castle.  This hotel is 7.8 mi (12.5 km) from Rundale Palace and 29.3 mi (47.1 km) from St. Simeon and St. Anna Orthodox Church.</p><p>Rooms : Make yourself at home in one of the 72 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include phones and desks, and housekeeping is provided daily.</p><p>Dining : At Rija Bauska Hotel , enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are served on weekdays from 7 AM to 10 AM and on weekends from 7:30 AM to 10:30 AM for a fee.</p><p>Renovations : This property is closed from 16 March 2020 to 31 May 2020 (dates subject to change).</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed.  <ul><li>No onsite parking is available. </li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation. </li>Guests must contact this property in advance to reserve cribs/infant beds. </ul></p>",371-6-7791604,In-room accessibility Smoke-free property Multilingual staff Terrace Bar/lounge Luggage storage elevator Breakfast available (surcharge) 24-hour front desk Restaurant Meeting rooms Tours/ticket assistance Accessible bathroom Free WiFi,56.407848|24.195321,371-6-7259928,LV-3901,http://www.rixwell.com
LV,Latvia,105404,Bille,1338327,Karlamuiza Country Hotel,ThreeStar,Karli Drabesu PagastsCesis ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Amata - Ainavu krauja Trail - 1.5 km / 0.9 mi <br /> Ainavu krauja - 1.8 km / 1.1 mi <br /> Zvartes Rock - 5.3 km / 3.3 mi <br /> St. John s Church - 11.7 km / 7.3 mi <br /> Cesis Medlieval Castle - 11.8 km / 7.3 mi <br /> Cesis Castle - 11.9 km / 7.4 mi <br /> Vienkoci Park - 17.8 km / 11.1 mi <br /> Gauja National Park - 30.6 km / 19 mi <br /> Knights of the Sword Castle - 30.8 km / 19.1 mi <br /> Ligatnes Nature Trails - 31 km / 19.2 mi <br /> Sigulda Castle - 31.2 km / 19.4 mi <br /> Turaida Castle - 33.9 km / 21.1 mi <br /> Turaida Museum Reserve - 34.5 km / 21.4 mi <br /> St. Simon s Lutheran Church - 42.5 km / 26.4 mi <br /> Vecpuisu Park - 42.8 km / 26.6 mi <br /> </p><p>The preferred airport for Karlamuiza Country Hotel is Riga International Airport (RIX) - 91.5 km / 56.8 mi </p>,"<p>HeadLine : Near Ainavu krauja</p><p>Location : Located in Karli, Karlamuiza Country Hotel is on the riverwalk, within a 5-minute drive of Ainavu krauja and Amata - Ainavu krauja Trail.  This hotel is 3.3 mi (5.3 km) from Zvartes Rock and 7.4 mi (11.9 km) from Cesis Castle.</p><p>Rooms : Make yourself at home in one of the 10 individually decorated guestrooms, featuring refrigerators and espresso makers. Your Select Comfort bed comes with premium bedding. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms have complimentary toiletries and hair dryers.</p><p>Dining : Grab a bite to eat at the hotel s family restaurant, which features a bar/lounge and a garden view. You can also stay in and take advantage of the room service (during limited hours). Buffet breakfasts are available daily from 7:00 AM to 11:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : This property offers transfers from the train station. Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",37-16-6002198,Gift shops or newsstand Dry cleaning/laundry service Proposal/romance packages available Free parking nearby Number of meeting rooms - 1 Free wired Internet Free WiFi Downhill skiing nearby Number of bars/lounges - 1 Cross-country skiing on site Ski storage Snowboarding Nearby Tours/ticket assistance Fireplace in lobby Multilingual staff Ski equipment rental shops nearby Ski lessons available nearby Breakfast available (surcharge) Barbecue grill(s) Coffee/tea in common areas Number of coffee shops/cafes - 1 Laundry facilities Ecotours on site Canoe on site Street parking Hiking/biking trails on site Upper floors accessible by stairs only Garden Picnic area Volleyball on site Fishing on site Area shuttle (surcharge) Free bicycles on site Private picnics Couples/private dining Wheelchair accessible  no Luggage storage Front desk (limited hours) Free train station pickup Playground on site Housekeeping on request Smoke-free property Snack bar/deli Sauna Steam room Kayaking nearby Free self parking Computer station Terrace Mountain biking on site,57.241347|25.214267,371 26165298,4139,http://karlamuiza.lv
LV,Latvia,105651,Birini,1418138,Birinu Pils,All,Birinu Pils Vidriu PagastsLimbazu NovadaBirini ,,"Located in Birini, Birinu Pils is next to Lake Birinu. Housed in a manor house from 1860, it offers accommodation with free Wi-Fi. Free private parking is available on site.

The rooms of the Birinu Pils are spacious and painted in warm colours. All have a private bathroom, a wooden floor and furniture, which includes a desk.

The lower levels of the building house a bathhouse and guests also have access to a sauna. The hotel also arranges horse riding activities and local tours. The restaurant serves Latvian and international cuisine.

The Birinu Pils is located in a calm area, away from the rush of city centres. Riga airport is 70 km away, and Via Baltica is within 14 km. Please inform Birinu Pils in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.",+37164024035,Parking Restaurant Pets allowed Room service meeting/banquet facilities Bar Sauna Garden Terrace Non-smoking rooms Airport shuttle Fishing Family rooms breakfast in the room Ironing service Free parking internet services express check-in/check-out Safety Deposit Box children's playground Table tennis BBQ facilities Cycling hammam Heating Fax/photocopying Horse riding wifi Allergy-free room Free WiFi Non-smoking throughout Private beach area Sun terrace Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles Fire extinguishers use of cleaning chemicals that are effective against coronavirus guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property Outdoor furniture Picnic area Steam room Spa/wellness packages Beach Shuttle service Walking tours Key access Smoke alarms CCTV in common areas CCTV outside property Kid meals secured parking Street parking Wine/champagne Fruits Pet bowls sun loungers or beach chairs,57.2438|24.65938,+37164024033,LV-4013,https://www.booking.com/hotel/lv/birinu-pils.html
LV,Latvia,113379,Carnikava,1937636,Atputas Komplekss Lilaste,ThreeStar,Upmali Lilaste LV-2160 ,,"Recreation Center Lilaste is situated on the shore of Lake Lilaste, surrounded by a green forest. It offers bright rooms with a private bathroom, as well as extensive water sports facilities.

Guests are welcome to enjoy boat rentals, try wakeboarding or skating during winter. There is a volleyball court, a basketball hoop and a playground for children, equipped with a trampoline.

Each room at RC Lilaste has a TV with cable channels. The property boasts a Russian steam bath. There is also a common fireplace hall to relax in.

Breakfast is served in the restaurant, offering also lunch and dinner menus à la carte. A drink or two can be enjoyed in the restaurant and there are barbecue facilities in the garden.

Recreation Center Lilaste is located 600 metres from the A1 Via Baltica motorway and 2 km from the Lilaste Railway Station. The Gulf of Riga is 800 metres away.",,Parking Restaurant children's playground Billiards Windsurfing Canoeing Pets allowed Hiking BBQ facilities Cycling Heating Fax/photocopying wifi Free WiFi designated smoking area Private beach area Snack Bar Room service meeting/banquet facilities Bar 24-hour front desk Sauna Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry Family rooms breakfast in the room Free parking internet services Sun terrace Private check-in/check-out vending machine (drinks) water sport facilities on site airport shuttle (additional charge) Shared kitchen minimarket on site parking on site Private parking Open-air bath kids' outdoor play equipment Kid meals secured parking Street parking airport pick up airport drop off Badminton equipment coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Steam room Beach Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers bicycle rental,57.18839|24.35586,+37126439830|+37167700358,LV-2160,http://www.lilaste.com/
LV,Latvia,113379,Carnikava,5442523,Guest House Nearby Sea,All,Ziemelu Iela 21  ,,"Featuring a garden with a barbecue, Guest House Lilaste Beach is a detached holiday home set in Lilaste in the Vidzeme Region, 120 metres from the coast of the sea. The property is 25 km from Riga and boasts views of the garden. Free WiFi is featured .

The kitchen comes with a microwave and a fridge and there is a private bathroom. A TV is offered. Free private parking is available at the holiday home. Bed linen and towels are provided.

Jurmala is 39 km from Guest House Lilaste Beach, while Sigulda is 32 km from the property. A selection of activities are offered in the area, such as snorkelling, cycling and fishing. The nearest airport is Riga International Airport, 37 km from Guest House Lilaste Beach. Please inform Guest House Lilaste Beach in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Managed by a private host",,first aid kit available contactless check-in/check-out physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available Picnic area Beach Shuttle service Walking tours Bike tours Key access use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests Parking Garden Terrace Non-smoking rooms Airport shuttle Fishing Skiing Family rooms Free parking internet services express check-in/check-out Safety Deposit Box Valet parking Soundproof rooms Hiking BBQ facilities Cycling Heating Diving Snorkelling wifi Free WiFi Non-smoking throughout designated smoking area shuttle service (additional charge) airport shuttle (additional charge) Beachfront grocery deliveries parking on site Private parking secured parking Parking garage Outdoor furniture,57.18721|24.33416,,LV 2163,https://www.booking.com/hotel/lv/guest-house-nearby-sea.html
LV,Latvia,101807,Ceraukste parish,1428803,Romalas,ThreeStar,Nameju Iela 2 Ceraukste Ceraukstes Pag. Bauskas Nov. CerauksteCeraukste ParishBauskas Novads LV-3908 ,,"Offering a spa centre including a sauna and hot tub, Romalas is situated in Ceraukste. The hotel has a restauranrt where guests can enjoy a meal. Free WiFi is featured in public areas and free private parking is available on site.

All rooms include an LCD TV and a bathroom with free toiletries and a hairdryer. Some units boast a spa bath.

There is a 24-hour front desk, dry cleaning services, room service and gift shop at the property. A tour desk is available and sightseeing tours can be arranged.

Riga Airport can be reached within a 1-hour drive from Romalas.",,Shuttle service Tour or class about local culture Cooking class Security alarm CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Sauna Garden Terrace Non-smoking rooms Facilities for disabled guests Family rooms Free parking internet services Spa and wellness centre Massage children's playground Hot tub/jacuzzi BBQ facilities Packed lunches Heating Fax/photocopying wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace shuttle service (additional charge) Special diet menus (on request) Daily housekeeping parking on site Private parking Indoor play area kids' outdoor play equipment Kid meals Wheelchair accessible Toilet with grab rails Wine/champagne Fruits coffee house on site Outdoor furniture Picnic area Spa lounge/relaxation area Spa/wellness packages Back massage Foot massage Full body massage shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas cashless payment available physical distancing rules followed guests have the option to cancel any cleaning services for their accommodation during their stay,56.35987|24.28441,37126564580,LV-3908,https://www.booking.com/hotel/lv/rozmalas.html
LV,Latvia,114598,Cesvaine,1046971,Hotel Grasu Pils,ThreeStar,Grau Pils Cesvaines Nov.  ,,"Set in a manor house from the 18th century, Hotel Grasu Pils enjoys a quiet location on the Latvian countryside. It is situated within a beautiful French baroque park.

All rooms overlook the park and have a private bathroom with a hairdryer.

Guests can enjoy the sauna and hot tub, or relax on the terrace.

The Grasu Pils has a 24-hour Front Desk and free access to Wi-Fi is provided in the lobby. Guests can rent bicycles at the hotel.

Sights like the Cesvaine Palace from the 19th century and medieval ruins can be visited in the area.

Hotel Grasu Pils offers free private parking on site.",+371(0)4852200,Hiking Chapel/shrine BBQ facilities Heating Fax/photocopying wifi Free WiFi Non-smoking throughout designated smoking area Shared kitchen parking on site Private parking kids' outdoor play equipment Wheelchair accessible Toilet with grab rails Pet bowls Outdoor furniture Picnic area Key card access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Parking Pets allowed meeting/banquet facilities Sauna Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Skiing Family rooms Ironing service Free parking internet services Billiards,56.98621|26.27496,371 29448937,LV-4871,https://www.booking.com/hotel/lv/grasu-pils.html
