countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PR,Puerto Rico,100035,Adjuntas,1220628,Parador Villas Sotomayor,ThreeStar,7 Puerto Rico 123 Int 522 km 0.2Adjuntas 00601 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lago Garzas - 8.2 km / 5.1 mi <br /> Toro Negro State Forest - 16 km / 10 mi <br /> Hacienda Buena Vista - 17.4 km / 10.8 mi <br /> Guilarte Forest - 18.7 km / 11.6 mi <br /> Tibes Indian Ceremonial Center - 19.9 km / 12.4 mi <br /> Cerro de Punta - 21.2 km / 13.2 mi <br /> Museum of Puerto Rico Music - 24.1 km / 15 mi <br /> Museum of the History of Ponce - 24.1 km / 15 mi <br /> Teatro la Perla - 24.3 km / 15.1 mi <br /> Plaza of Delights - 24.3 km / 15.1 mi <br /> Casa Armstrong-Poventud - 24.4 km / 15.2 mi <br /> Cathedral of Our Lady of Guadalupe - 24.4 km / 15.2 mi <br /> Casa Wiechers-Villaronga - 24.4 km / 15.2 mi <br /> Parque de Bombas - 24.4 km / 15.2 mi <br /> Cathedral of Our Lady of Guadeloupe - 24.4 km / 15.2 mi <br /> </p><p>The nearest airports are:<br />Ponce (PSE-Mercedita) - 28.6 km / 17.8 mi<br /> Mayagüez (MAZ-Eugenio María de Hostos) - 113.5 km / 70.6 mi<br /> </p><p>The preferred airport for Parador Villas Sotomayor is Ponce (PSE-Mercedita). </p>,"<p>HeadLine : On the riverwalk</p><p>Location : When you stay at Parador Villas Sotomayor in Adjuntas, you ll be on the riverwalk and 9 minutes by car from Lago Garzas.  This family-friendly hotel is 10 mi (16 km) from Toro Negro State Forest and 10.8 mi (17.4 km) from Hacienda Buena Vista.</p><p>Rooms : Make yourself at home in one of the 35 individually furnished guestrooms, featuring refrigerators and microwaves. Rooms have private balconies. LCD televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with shower/tub combinations feature rainfall showerheads and bidets.</p><p>Dining : Satisfy your appetite with local cuisine at Las Garzas, a poolside restaurant which features a garden view. Dining is also available at the coffee shop/cafe. Relax with a refreshing drink from the poolside bar or one of the 2 bars/lounges. A complimentary local cuisine breakfast is served daily from 8:00 AM to 10:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li><li>Be prepared: check the latest COVID-19 travel requirements and measures in place for this destination before you travel.</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 9:00 PM. This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",1-787-8295105,Luggage storage Mountain biking nearby Gift shops or newsstand Conference center Snack bar/deli Windsurfing nearby Wheelchair accessible (may have limitations) Outdoor tennis courts - 1 Tennis on site Barbecue grill(s) Number of bars/lounges - 2 Number of poolside bars - 1 Free breakfast (local cuisine) Free breakfast Billiards or pool table Tours/ticket assistance Free WiFi Pool sun loungers Basketball on site Smoke-free property Number of coffee shops/cafes - 1 Nightclub Hiking/biking trails nearby Children's pool Scuba diving nearby Golfing nearby Horse riding/rental on site Surfing/bodyboarding nearby Ballroom Laundry facilities Playground on site Wheelchair accessible path of travel Television in common areas Accessible bathroom Roll-in shower Wheelchair accessible parking Arcade/game room In-room accessibility Garden Wheelchair-accessible registration desk Wheelchair-accessible pool Free newspapers in lobby Wheelchair-accessible on-site restaurant Picnic area Daily Number of outdoor pools - 4 Fitness facilities Volleyball on site Front desk (limited hours) Business center Free self parking Number of meeting rooms - 1 Terrace,18.15778|-66.71779,+1 787 8291717,00601,http://www.paradorvillassotomayor.com/
PR,Puerto Rico,105064,Aguada,1417587,Hotel Colombus,TwoStar,441 Km 1.5 Bo Guaniquilla Bo Guaniquilla00602 Aguada ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Balneario Pico de Piedra - 2.2 km / 1.3 mi <br /> Playa El Espinal - 8.2 km / 5.1 mi <br /> Sandy Beach - 9 km / 5.6 mi <br /> Aguadilla Mall - 9.4 km / 5.8 mi <br /> Playa Chica - 9.8 km / 6.1 mi <br /> El Parterre - 10 km / 6.2 mi <br /> Rincon Central Plaza - 10.9 km / 6.8 mi <br /> Las Cascadas Water Park - 11.1 km / 6.9 mi <br /> Black Eagle Beach - 11.5 km / 7.2 mi <br /> Balneario de Rincón - 11.5 km / 7.2 mi <br /> Museo del Mundillo - 11.7 km / 7.2 mi <br /> Playa Pools - 12.2 km / 7.6 mi <br /> Playa Corcega - 12.3 km / 7.6 mi <br /> Playa María - 12.5 km / 7.8 mi <br /> Steps Beach - 12.5 km / 7.8 mi <br /> </p><p>The nearest airports are:<br />Rafael Hernandez Airport (BQN) - 19.6 km / 12.2 mi<br /> Mayagüez (MAZ-Eugenio María de Hostos) - 21.8 km / 13.6 mi<br /> </p><p>The preferred airport for Hotel Colombus is Rafael Hernandez Airport (BQN). </p>,"<p>HeadLine : Near Balneario Pico de Piedra</p><p>Location : Located in Aguada, Hotel Colombus is on the boardwalk, a 4-minute drive from Balneario Pico de Piedra and 10 minutes from Playa El Espinal.  This beach hotel is 5.6 mi (9 km) from Sandy Beach and 9.4 mi (15.1 km) from Crashboat Beach.</p><p>Rooms : Make yourself at home in one of the 23 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms with showers are provided. Conveniences include desks, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at Atlantis, a beachfront restaurant where you can enjoy drinks at the bar/lounge, take in the ocean view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Cooked-to-order breakfasts are available daily from 8:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",787-868-1140,Beach umbrellas Number of meeting rooms - 1 Swimming nearby Sailing nearby Limo or Town Car service available Windsurfing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Braille or raised signage Number of outdoor pools - 2 Water skiing nearby Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Wedding services Accessible bathroom (in select rooms) RV  bus  truck parking Beach towels Rooftop terrace Walkway to water Luggage storage Express check-out Golf lessons available nearby Personal motorized watercraft on site 24-hour front desk Breakfast available (surcharge) Barbecue grill(s) Golfing nearby Snorkeling nearby Smoke-free property Ecotours nearby Surfing/bodyboarding nearby Rafting nearby Free self parking Beach sun loungers Terrace Wheelchair accessible path of travel Pool sun loungers,18.39314|-67.193507,+787 868 1140,00602,http://www.hotelcolombuspr.com/
PR,Puerto Rico,105064,Aguada,1670867,Vista Azul,All,Avenida Nativo Alers Desvio Sur Avenida Nativo Alers Desvio SurAguada 00602 ,,"Offering a restaurant, Vista Azul is located in central Aguada where you can enjoy a variety of shops and restaurants. This self-catering accommodation features free WiFi.

Accommodation will provide you with air conditioning, a balcony and a terrace. There is a full kitchen with a microwave and a refrigerator. Private bathrooms also come with a bath or shower. You can enjoy city view.

At Vista Azul you will find a bar and a shared kitchen. Other facilities like a vending machine are offered. The property offers free parking.

Paruqe Paraíso is 1.5 km away while Mercedita Airport is located 103 km away. Please inform Vista Azul in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Managed by a private host",,Parking Restaurant Bar Airport shuttle Barber/beauty shop breakfast in the room Free parking internet services wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar shuttle service (additional charge) Special diet menus (on request) vending machine (drinks) vending machine (snacks) airport shuttle (additional charge) minimarket on site parking on site Private parking wifi available in all areas Accessible parking coffee house on site Shuttle service,18.37726|-67.18124,,00602,https://www.booking.com/hotel/pr/vista-azul.html
PR,Puerto Rico,105064,Aguada,1712132,Mares Guesthouse,All,Cam Playa Km 2.2 Aguada 00602 ,,"<p><b>Property Location</b> <br />Located in Aguada, Mares Guesthouse is within the vicinity of Aguadilla Mall and Punta Higuera Light House. This guesthouse is within the vicinity of Domes Beach and Crashboat Beach.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 6 individually decorated guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include laptop-compatible safes and desks, and you can also request cribs/infant beds (surcharge).</p><p><b>Rec, Spa, Premium Amenities</b> <br />Take advantage of recreation opportunities including an outdoor pool and a spa tub.</p><p><b>Dining</b> <br />Enjoy a satisfying meal at a restaurant serving guests of Mares Guesthouse. Quench your thirst with your favorite drink at a bar/lounge.</p><p><b>Business, Other Amenities</b> <br />Featured amenities include a business center and dry cleaning/laundry services.</p>",,Restaurant Spa tub Blackout drapes/curtains Visa,18.38884|-67.20423,,00602,
PR,Puerto Rico,105064,Aguada,1883689,La Cruz De Colon Hostal Boutique,ThreeStar,Carretera 441 Barrio GuaniquillaBuzon A-492Aguada 00680 ,,"Providing free WiFi, Guest House La Cruz de Colon is situated in Aguada. With a terrace, the property also features a shared lounge. Rooms have a balcony with sea views.

The rooms at the hostel are fitted with a seating area. The rooms have a private bathroom and a shower, and some rooms at Guest House La Cruz de Colon have a patio.

Guests at the accommodation will be able to enjoy activities in and around Aguada, like cycling.

Cabo Rojo is 41 km from Guest House La Cruz de Colon, while Rincon is 11 km away.",,Diving Horse riding Snorkelling Free WiFi Free WiFi Non-smoking throughout Air conditioning Designated smoking areas Private check-in/check-out Television in common areas On private beach Parking onsite Free self parking Street parking Terrace Non-smoking rooms Fishing Laundry facilities Family rooms Internet access Express check-in Windsurfing Business services Cycling,18.39109|-67.19593,,00602,https://www.booking.com/hotel/pr/la-cruz-de-colon-hostal-boutique.html
PR,Puerto Rico,105064,Aguada,5301271,Villa Marsana,ThreeStar,32 Cardona St. #115 Km 19.4  ,,"Situated off Rio Grande Beach, Villa Marsana offers eco-friendly rooms and a roof-top terrace with views of the Caribbean Sea.

Marsana Villas rooms are air-conditioned and have a private bathroom with toilet and shower. Free Wi-Fi is provided, and the rooms feature flat-screen TV with cable channels.

Restaurants can be reached within 5 minutes by car. The Lighthouse at Rincon is 12km from the property, while Bahia de Aguadilla and Aguadilla are a 13 minutes drive away. Managed by a private host",,shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay face masks for guests available internet services express check-in/check-out Windsurfing Hot tub/jacuzzi Hiking BBQ facilities Cycling Parking Pets allowed 24-hour front desk Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Fishing babysitting/child services Laundry Facilities for disabled guests Family rooms Free parking Tour desk Horse riding Snorkelling Beach Luggage storage Cooking class wifi 24-hour security Allergy-free room Key access Free WiFi Security alarm Non-smoking throughout CCTV in common areas Air conditioning CCTV outside property designated smoking area bicycle rental Private beach area use of cleaning chemicals that are effective against coronavirus Sun terrace linens  towels and laundry washed in accordance with local authority guidelines Private check-in/check-out Special diet menus (on request) airport shuttle (additional charge) Shared kitchen shared lounge/TV area Water park Private parking board games/puzzles Indoor play area Baby safety gates secured parking Street parking Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Emergency cord in bathroom guest accommodation is disinfected between stays Fruits guest accommodation sealed after cleaning airport pick up physical distancing in dining areas airport drop off staff follow all safety protocols as directed by local authorities Pet bowls Outdoor furniture Picnic area Yoga classes,18.3759|-67.23051,,00602,https://www.booking.com/hotel/pr/villa-marsana-wellness-beachhouse-and-spa.html
PR,Puerto Rico,105064,Aguada,5559106,Discovery Beach Guest House,All,Carr #115 Km.25.6 Barrio Asomante Box 5000 681  ,,"Boasting an outdoor swimming pool and a garden, Discovery Beach Apartments is situated in Aguada.  Private parking and free WiFi are accessible at the guest house.

 Discovery Beach Apartments ia a hidden gem accommodating guests with amenities including a TV and a kitchenette.   The master bedrooms include air conditioning and a private bathroom .

Cabo Rojo is 40 km from Discovery Beach Apartments, while Rincon is 12 km from the property. Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
Please inform Discovery Beach Apartments in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.",,mobile app for room service property is cleaned by professional cleaning companies thermometers for guests provided by property face masks for guests available Parking Pets allowed Garden Airport shuttle Laundry Family rooms Free parking internet services BBQ facilities Car hire wifi Outdoor pool Free WiFi Air conditioning designated smoking area outdoor pool (all year) airport shuttle (additional charge) parking on site Private parking wifi available in all areas board games/puzzles Street parking Heated pool airport pick up airport drop off sun loungers or beach chairs Sun umbrellas Picnic area kids' pool Swimming pool Key access Smoke alarms CCTV in common areas CCTV outside property Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests contactless check-in/check-out cashless payment available physical distancing rules followed,18.39036|-67.16682,,00602,https://www.booking.com/hotel/pr/discovery-beach-guest-house.html
PR,Puerto Rico,105064,Aguada,5609367,Condo Aguada Puerto Rico,All,Condominio Los Almendros  ,,"Situated in Aguada, this air-conditioned apartment is 33 km from Cabo Rojo. The property is 48 km from La Parguera and free private parking is offered.

Domes Beach is just 4 minutes away.

There is a seating area, a dining area and a kitchen complete with an oven, a microwave and a fridge. A flat-screen TV is featured. Other facilities at Condo Aguada Puerto Rico include an outdoor pool.

Rincon is 9 km from Condo Aguada Puerto Rico, while Aguadilla is 6 km away. The area is popular for horse riding and diving. The nearest airport is Rafael Hernández Airport, 13 km from Condo Aguada Puerto Rico. Please inform Condo Aguada Puerto Rico in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
This property will not accommodate hen, stag or similar parties.",,Bowling Restaurant Non-smoking throughout Horse riding Pets allowed Private parking Free parking Parking Bar Swimming pool Air conditioning Heating Fishing Diving Outdoor pool Daily housekeeping On-site parking BBQ facilities Laundry Water park,18.3851|-67.18333,,00602,https://www.booking.com/hotel/pr/condo-aguada-puerto-rico.html
PR,Puerto Rico,105064,Aguada,5737563,Casa Peace Haven Beach House,All,188 Calle Marbella Guaniquilla  ,,"Casa Peace Haven Beach House features garden views, free WiFi and free private parking, located in Aguada, 200 metres from Playa Cañones.

The holiday home offers a TV and a private bathroom with free toiletries, a hairdryer and shower. Some units are air conditioned and include a balcony and/or a patio, as well as a seating area.

There is a garden with a barbecue at this property and guests can go diving and fishing nearby.

Balneario Pico de Piedra Beach is 2.2 km from Casa Peace Haven Beach House, while Porta Coeli Religious Art Museum is 47 km away. The nearest airport is Rafael Hernández Airport, 17 km from the accommodation. This property will not accommodate hen, stag or similar parties.
Please inform Casa Peace Haven Beach House in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
A damage deposit of USD 100 is required. The host charges this 14 days before arrival. This will be collected by credit card. You should be reimbursed within 7 days of check-out. Your deposit will be refunded in full via credit card, subject to an inspection of the property.
Managed by a private host",,Parking Garden Non-smoking rooms Fishing Family rooms Free parking internet services Karaoke Windsurfing Hiking BBQ facilities Diving Horse riding wifi Free WiFi Non-smoking throughout Air conditioning Beachfront grocery deliveries parking on site Private parking wifi available in all areas secured parking Street parking Beach invoice provided,18.39134|-67.19465,,00602,https://www.booking.com/hotel/pr/casa-peace-haven-beach-house-aguada1.html
PR,Puerto Rico,100679,Aguadilla,1190199,Parador El Faro,ThreeStar,Carr. 107 Km 2.1 Bo. BorinquenAguadilla ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Natural Green Spa - 0.7 km / 0.5 mi <br /> Crashboat Beach - 2.3 km / 1.4 mi <br /> Discover Scuba Diving - 2.5 km / 1.5 mi <br /> Las Cascadas Water Park - 3.6 km / 2.3 mi <br /> Wilderness Beach - 3.8 km / 2.4 mi <br /> The Mix - 3.9 km / 2.4 mi <br /> El Parterre - 4.1 km / 2.6 mi <br /> Punta Borinquen Golf Club - 4.2 km / 2.6 mi <br /> Playa Chica - 4.3 km / 2.7 mi <br /> Playa La Ruina - 4.5 km / 2.8 mi <br /> Borinquen Beach - 4.6 km / 2.9 mi <br /> Aguadilla Mall - 4.8 km / 3 mi <br /> Survival Beach - 6.7 km / 4.2 mi <br /> Martinica Beach - 9.4 km / 5.9 mi <br /> Shacks Beach - 9.6 km / 6 mi <br /> </p><p>The nearest airports are:<br />Rafael Hernandez Airport (BQN) - 5.1 km / 3.2 mi<br /> Mayagüez (MAZ-Eugenio María de Hostos) - 27.5 km / 17.1 mi<br /> </p><p>The preferred airport for Parador El Faro is Rafael Hernandez Airport (BQN). </p>,"<p>HeadLine : Near Natural Green Spa</p><p>Location : When you stay at Parador El Faro in Aguadilla, you ll be near the beach, within a 5-minute drive of Natural Green Spa and Discover Scuba Diving.  This hotel is 1.3 mi (2.1 km) from Crashboat Beach and 7.9 mi (12.7 km) from Jobos Beach.</p><p>Rooms : Make yourself at home in one of the 69 air-conditioned guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>Dining : At Parador El Faro, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Full breakfasts are served on weekends from 8:00 AM to 1:00 PM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",787-8821030,Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 2 Garden In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Luggage storage Multilingual staff 24-hour front desk Breakfast available (surcharge) Safe-deposit box at front desk Smoke-free property Laundry facilities Children's pool Free self parking Conference space Wheelchair accessible path of travel Pool sun loungers Concierge services Wheelchair accessible Vending machine Meeting rooms Scuba diving nearby,18.462617|-67.154856,787-8828000,00603,http://www.ihphospitality.com/PARADORELFARO/index.html
