countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
MU,Mauritius,104703,Albion,1443714,La Maison de la Plage,All,28 Avenue St Gérant  ,,"Providing sea views, La Maison de la plage in Albion provides accommodation, an outdoor swimming pool, a garden, a shared lounge, a terrace and barbecue facilities. Both WiFi and private parking are available at the bed and breakfast free of charge.

La Maison de la plage offers a flat-screen TV and a private bathroom with free toiletries, a hairdryer and shower.

Guests at the accommodation can enjoy a continental or a vegetarian breakfast.

If you would like to discover the area, snorkelling and canoeing are possible in the surroundings.

Albion Public Beach is a few steps from La Maison de la plage, while Domaine Les Pailles is 12 km away. The nearest airport is Sir Seewoosagur Ramgoolam, 45 km from the bed and breakfast, and the property offers a paid airport shuttle service. This property will not accommodate hen, stag or similar parties.",+230 5254 6995,Safety Deposit Box Massage Canoeing BBQ facilities Tour desk Snorkelling Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (all year) Private check-in/check-out airport shuttle (additional charge) Shared kitchen shared lounge/TV area Beachfront Adult only Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles Pool with view airport pick up airport drop off sun loungers or beach chairs Outdoor furniture Swimming pool Beach Walking tours 24-hour security Security alarm CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines Parking Garden Terrace Non-smoking rooms Airport shuttle Free parking internet services express check-in/check-out guest accommodation is disinfected between stays food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property face masks for guests available,-20.20499|57.40496,+230 238 3843,99999,https://www.booking.com/hotel/mu/la-maison-de-la-plage-albion.html
MU,Mauritius,104703,Albion,1477876,Lodge Ti Cabanon,ThreeStar,Avenue des Carpes Albion ,,"Set on the West Coast in the heart of Albion village, VillaVague provides accommodation ,the beach at 7 minutes by walk from us. The property offers a terrace overlooking an outdoor swimming pool, bar, terrace and different lovely spot to lounge on a sunny day.

Each air conditioned room is equipped with free Wi-Fi access, and a safety deposit box.

Breakfast is  available only upon reservation.

The area is known for snorkelling, canoeing and other water activities. Staff at VillaVague can help guests with tips about activities and sites throughout the island.

Car rental and airport shuttle services are available at the property.

Sir Seewoosagur Ramgoolam International Airport is 48 km from the property while Port Louis is 12km away. Please inform VILLAVAGUE Lodge in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Please check your visa requirements before you travel.",,Car hire Tour desk wifi Outdoor pool Free WiFi Air conditioning designated smoking area Sun terrace shuttle service (additional charge) airport shuttle (additional charge) Daily housekeeping wifi available in all areas sun loungers or beach chairs Outdoor furniture Spa lounge/relaxation area Swimming pool Beach Shuttle service Walking tours Bike tours Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests Bar Garden Terrace Non-smoking rooms Airport shuttle babysitting/child services Laundry Barber/beauty shop Family rooms breakfast in the room Ironing service internet services Safety Deposit Box Massage BBQ facilities first aid kit available contactless check-in/check-out physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized delivered food is securely covered,-20.21841|57.40142,+230 59327613,Albion,https://www.booking.com/hotel/mu/ti-cabanon.html
MU,Mauritius,104703,Albion,1636032,Albatros Residence lunch and dinner,ThreeStar,Corner Avenues Victory & Albatros AlbionMauritius ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Albion Public Beach - 0.9 km / 0.5 mi <br /> Pointe aux Caves Lighthouse - 2.4 km / 1.5 mi <br /> Active Waves - 10.4 km / 6.5 mi <br /> Grand River North West - 10.8 km / 6.7 mi <br /> Tamil Temple - 11.7 km / 7.3 mi <br /> Ebene Commercial Centre - 12.7 km / 7.9 mi <br /> Cascavelle Shopping Mall - 13 km / 8.1 mi <br /> Odysseo Oceanarium - 13.2 km / 8.2 mi <br /> Quatre Bornes Central Market - 13.3 km / 8.2 mi <br /> Sir Seewoosagur Ramgoolan Botanic Garden - 13.5 km / 8.4 mi <br /> Blue Penny Museum - 13.6 km / 8.4 mi <br /> Caudan Waterfront Casino - 13.6 km / 8.4 mi <br /> Mahé de Labourdonnais Statue - 13.6 km / 8.4 mi <br /> Caudan Waterfront - 13.7 km / 8.5 mi <br /> National History Museum of Port Louis - 13.7 km / 8.5 mi <br /> </p><p>The nearest major airport is Sir Seewoosagur Ramgoolam Intl. Airport (MRU) - 46.5 km / 28.9 mi</p>,"<p>HeadLine : In Albion (Morcellement Raffray)</p><p>Location : Located in Albion (Morcellement Raffray), Albatros Residence is within a 5-minute drive of Albion Public Beach and Pointe aux Caves Lighthouse.  This golf hotel is 10.2 mi (16.5 km) from Flic-en-Flac Beach and 16.8 mi (27.1 km) from Turtle Bay.</p><p>Rooms : Make yourself at home in one of the 2 guestrooms, featuring kitchens with full-sized refrigerators/freezers and stovetops. Rooms have private furnished patios. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include safes and microwaves.</p><p>Dining : At Albatros Residence, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. There is no front desk at this property. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property for check-in instructions. For more details, please contact the property using the information on the booking confirmation.  This propertys meals are served at an offsite restaurant, located 1.5 miles (2.4 kilometers) from the property. A shuttle service is provided.</p>",262-26-2662031,Airport transportation (surcharge) Luggage storage Multilingual staff Archery on site Number of bars/lounges - 1 Barbecue grill(s) Number of outdoor pools - 1 Garden Picnic area Smoke-free property Coffee/tea in common areas Laundry facilities Tours/ticket assistance Free self parking Tennis on site Terrace Golf course on site Access to nearby outdoor pool Free area shuttle Concierge services,-20.20269|57.40497,262-69-2311831,Albion,http://www.albatros-mauritius.com/index.php
MU,Mauritius,104703,Albion,1823898,Villa Des Canaris,ThreeStar,Albion Albion ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Albion Public Beach - 1.7 km / 1 mi <br /> Cascavelle Shopping Mall - 11.2 km / 6.9 mi <br /> Ebene Commercial Centre - 11.3 km / 7 mi <br /> Tamil Temple - 11.3 km / 7 mi <br /> Quatre Bornes Central Market - 12.3 km / 7.7 mi <br /> Casela Nature and Leisure Park - 12.7 km / 7.9 mi <br /> University of Mauritius - 12.9 km / 8 mi <br /> Caudan Waterfront - 13.2 km / 8.2 mi <br /> Caudan Waterfront Casino - 13.2 km / 8.2 mi <br /> Blue Penny Museum - 13.2 km / 8.2 mi <br /> National History Museum of Port Louis - 13.3 km / 8.2 mi <br /> Mauritius Postal Museum - 13.7 km / 8.5 mi <br /> Immigration Depot - 13.7 km / 8.5 mi <br /> Port Louis Market - 13.8 km / 8.6 mi <br /> Jummah Mosque - 14 km / 8.7 mi <br /> </p><p>The preferred airport for Villa Des Canaris is Mahebourg (MRU-Sir Seewoosagur Ramgoolam Intl.) - 47 km / 29.2 mi </p>,"<p><b>Property Location</b> <br />When you stay at Villa Des Canaris in Albion, you'll be on the beach and within a 5-minute drive of Albion Public Beach.  This beach villa is 8 mi (12.9 km) from University of Mauritius and 8.2 mi (13.2 km) from Caudan Waterfront.</p><p><b>Rooms</b> <br />Make yourself at home in one of the 3 guestrooms, featuring kitchens with refrigerators and microwaves. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected. Conveniences include separate sitting areas and coffee/tea makers.</p><p><b>Amenities</b> <br />Take advantage of recreation opportunities such as an outdoor pool or take in the view from a terrace and a garden. Additional features at this villa include complimentary wireless Internet access and barbecue grills.</p><p><b>Business, Other Amenities</b> <br />Free self parking is available onsite.</p>",,Barbecue grill(s) Free WiFi Free self parking Garden Number of floors - 2 Outdoor pool Terrace Total number of rooms - 3,-20.21839|57.40815,,,http://www.hotels.com/ho748599936
MU,Mauritius,104703,Albion,1826763,Chez Cozy's,ThreeStar,Albion Branch Rd Albion ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Albion Public Beach - 1 km / 0.6 mi <br /> Pointe aux Caves Lighthouse - 3.9 km / 2.4 mi <br /> Active Waves - 8.7 km / 5.4 mi <br /> Grand River North West - 9 km / 5.6 mi <br /> Ebene Commercial Centre - 11 km / 6.8 mi <br /> Cascavelle Shopping Mall - 11.3 km / 7 mi <br /> Tamil Temple - 11.4 km / 7.1 mi <br /> Quatre Bornes Central Market - 11.5 km / 7.2 mi <br /> National History Museum of Port Louis - 12.7 km / 7.9 mi <br /> Odysseo Oceanarium - 12.9 km / 8 mi <br /> Central Market - 13.1 km / 8.1 mi <br /> Aapravasi Ghat - 13.2 km / 8.2 mi <br /> Sir Seewoosagur Ramgoolan Botanic Garden - 13.2 km / 8.2 mi <br /> Port Louis Theater - 13.3 km / 8.2 mi <br /> Blue Penny Museum - 13.3 km / 8.2 mi <br /> </p><p>The nearest major airport is Sir Seewoosagur Ramgoolam Intl. Airport (MRU) - 44.8 km / 27.8 mi</p>,"<p>HeadLine : Near Albion Public Beach</p><p>Location : Located in Albion, Chez Cozy s is by the sea, a 1-minute drive from Albion Public Beach and 12 minutes from Port Louis Market.  This golf guesthouse is 8.3 mi (13.4 km) from Caudan Waterfront and 9.1 mi (14.6 km) from Mall of Mauritius.</p><p>Rooms : Make yourself at home in one of the 2 guestrooms featuring microwaves. Rooms have private balconies or patios. Prepare your meals in the shared/communal kitchen. Complimentary wireless Internet access is available to keep you connected. Bathrooms feature showers, complimentary toiletries, and hair dryers.</p><p>Dining : Mingle with other guests at the complimentary reception, held daily. A complimentary continental breakfast is served daily from 7:00 AM to 9:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>Long-term renters welcome</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 8:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  The reservation deposit is payable by bank transfer, due on the date of booking. The balance is due 2 days prior to arrival, payable by bank transfer.</p>",,Laundry facilities Children's pool Use of nearby fitness center (discount) Free self parking Terrace Concierge services Golf cart Fishing nearby Ziplining nearby Golf clubs (equipment) Free reception Swimming nearby Sailing nearby Television in common areas Windsurfing nearby Scuba diving nearby Free WiFi Number of outdoor pools - 1 Garden 24-hour fitness facilities Boat tours nearby Free continental breakfast Airport transportation (surcharge) Luggage storage Free breakfast Outdoor tennis courts - 1 24-hour front desk Scooter/moped rentals nearby Mountain climbing nearby Library Daily Segway rental/tour nearby Snorkeling nearby Smoke-free property Coffee/tea in common areas,-20.214212|57.410749,230-52511631,,
MU,Mauritius,104703,Albion,5194062,Holiday Home Avenue Des Empereurs 2,All,Avenue Des Empereurs  ,,"Boasting an outdoor pool and garden views, 2 bedrooms house at Albion 100 m away from the beach with shared pool enclosed garden and wifi is situated in Albion. The air-conditioned accommodation is 39 km from Grand Baie, and guests benefit from complimentary WiFi and private parking available on site.

The holiday home has 2 bedrooms, a TV with satellite channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a shower.

A barbecue is available for guests to use at the holiday home.

Balaclava is 26 km from 2 bedrooms house at Albion 100, while Flic-en-Flac is 11 km from the property. This property will not accommodate hen, stag or similar parties.
A damage deposit of EUR 300 is required on arrival. You should be reimbursed on check-out.",,Parking Free parking internet services BBQ facilities wifi Outdoor pool Free WiFi Air conditioning parking on site Private parking wifi available in all areas Swimming pool,-20.21806|57.40226,,91006,https://www.booking.com/hotel/mu/holiday-home-avenue-des-empereurs-2.html
MU,Mauritius,104703,Albion,5219387,Holiday home Avenue Des Empereurs 3,ThreeStar,Avenue Des Empereurs  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Albion Public Beach - 1.2 km / 0.8 mi <br /> Pointe aux Caves Lighthouse - 4.2 km / 2.6 mi <br /> Cascavelle Shopping Mall - 9 km / 5.6 mi <br /> Flic-en-Flac Beach - 9.7 km / 6 mi <br /> Casela World of Adventures - 10.2 km / 6.3 mi <br /> Grand River North West - 10.7 km / 6.7 mi <br /> Tamil Temple - 11.3 km / 7 mi <br /> Casela Nature and Leisure Park - 11.9 km / 7.4 mi <br /> Ebene Commercial Centre - 12.3 km / 7.6 mi <br /> Wolmar Beach - 12.7 km / 7.9 mi <br /> Quatre Bornes Central Market - 12.9 km / 8 mi <br /> Christian Decotter Cruise Terminal - 13.2 km / 8.2 mi <br /> Caudan Waterfront Casino - 13.2 km / 8.2 mi <br /> Blue Penny Museum - 13.2 km / 8.2 mi <br /> National History Museum of Port Louis - 13.3 km / 8.3 mi <br /> </p><p>The nearest major airport is Sir Seewoosagur Ramgoolam Intl. Airport (MRU) - 50 km / 31 mi</p>,"<p>HeadLine : Near Albion Public Beach</p><p>Location : When you stay at this vacation home in Albion, you ll be next to a golf course and 15 minutes by foot from Albion Public Beach.  This golf vacation home is 6 mi (9.7 km) from Flic-en-Flac Beach and 8.5 mi (13.6 km) from Port Louis Market.</p><p>Rooms : Make yourself comfortable in this vacation home, featuring a kitchen with a refrigerator and a stovetop. There s a private balcony or patio. A flat-screen television with satellite programming provides entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include a safe and a microwave.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts debit or credit cards and credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Guests will receive an email with special check-in instructions. Guests can choose to either self-clean the property prior to check-out, or pay an additional cleaning fee at check-out.</p>",,Barbecue grill(s) Laundry facilities Terrace Free self parking Free WiFi Outdoor pool Garden Internet access Designated smoking areas Outdoor tennis court,-20.218059|57.402261,33175435488,91006,
MU,Mauritius,104703,Albion,5233346,Apartment With in Albion With Wonderful sea View Pool Acc,ThreeStar,Avenue St Géran  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Albion Public Beach - 0.1 km / 0.1 mi <br /> Pointe aux Caves Lighthouse - 2.6 km / 1.6 mi <br /> Tamil Temple - 12 km / 7.5 mi <br /> Cascavelle Shopping Mall - 12.6 km / 7.9 mi <br /> Ebene Commercial Centre - 12.9 km / 8 mi <br /> Quatre Bornes Central Market - 13.8 km / 8.6 mi <br /> Christian Decotter Cruise Terminal - 13.8 km / 8.6 mi <br /> Casela World of Adventures - 13.8 km / 8.6 mi <br /> Caudan Waterfront - 13.9 km / 8.6 mi <br /> Caudan Waterfront Casino - 13.9 km / 8.6 mi <br /> Blue Penny Museum - 13.9 km / 8.6 mi <br /> National History Museum of Port Louis - 14 km / 8.7 mi <br /> Port Louis Market - 14.3 km / 8.9 mi <br /> Immigration Depot (Aapravasi Ghat) - 14.3 km / 8.9 mi <br /> Mauritius Postal Museum - 14.3 km / 8.9 mi <br /> </p><p>The nearest major airport is Mahebourg (MRU-Sir Seewoosagur Ramgoolam Intl.) - 48.4 km / 30.1 mi</p>,"<p>HeadLine : Near Albion Public Beach</p><p>Location : With a stay at this apartment in Albion, you ll be next to a golf course, just steps from Albion Public Beach and a 4-minute drive from Pointe aux Caves Lighthouse.  This golf apartment is 10.2 mi (16.5 km) from Flic-en-Flac Beach and 17 mi (27.4 km) from Turtle Bay.</p><p>Rooms : Make yourself comfortable in this apartment, featuring a kitchen with a refrigerator and a stovetop. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include a microwave and a washer/dryer.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a credit card, debit card, or cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",,Barbecue grill(s) Laundry facilities Free self parking Free WiFi Outdoor pool Smoke-free property Garden,-20.20474|57.405157,33175435488,91001,
MU,Mauritius,104703,Albion,5337756,Apartment With in Albion With Enclosed Garden and Wifi 1,ThreeStar,Avenue Victory 27  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Albion Public Beach - 0.2 km / 0.1 mi <br /> Pointe aux Caves Lighthouse - 3.3 km / 2 mi <br /> Tamil Temple - 11.5 km / 7.1 mi <br /> Cascavelle Shopping Mall - 12.1 km / 7.5 mi <br /> Ebene Commercial Centre - 12.3 km / 7.7 mi <br /> Casela World of Adventures - 13.3 km / 8.2 mi <br /> Caudan Waterfront - 13.3 km / 8.3 mi <br /> Quatre Bornes Central Market - 13.3 km / 8.3 mi <br /> Caudan Waterfront Casino - 13.4 km / 8.3 mi <br /> Blue Penny Museum - 13.4 km / 8.3 mi <br /> Casela Nature and Leisure Park - 13.6 km / 8.4 mi <br /> Christian Decotter Cruise Terminal - 13.7 km / 8.5 mi <br /> University of Mauritius - 13.8 km / 8.6 mi <br /> Mauritius Postal Museum - 13.8 km / 8.6 mi <br /> National History Museum of Port Louis - 13.9 km / 8.6 mi <br /> </p><p>The nearest major airport is Mahebourg (MRU-Sir Seewoosagur Ramgoolam Intl.) - 47.9 km / 29.7 mi</p>,"<p>HeadLine : In Albion (Morcellement Raffray)</p><p>Location : With a stay at this apartment in Albion (Morcellement Raffray), you ll be a 1-minute drive from Albion Public Beach and 9 minutes from Pointe aux Caves Lighthouse.  This golf apartment is 9.9 mi (16 km) from Flic-en-Flac Beach and 16.7 mi (26.8 km) from Turtle Bay.</p><p>Rooms : Make yourself comfortable in this apartment, featuring a kitchen with a refrigerator and a stovetop. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Conveniences include a microwave and a washer/dryer.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy. <br />Government-issued photo identification and a cash deposit are required at check-in for incidental charges. <br />Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. <ul>  </ul></p>",,Barbecue grill(s) Laundry facilities Free WiFi Free parking nearby Smoke-free property Garden Outdoor tennis court,-20.204922|57.407051,33175435488,91002,
MU,Mauritius,104703,Albion,5352605,Holiday Home Avenue Des Empereurs,All,Avenue Des Empereurs  ,,"Featuring an outdoor pool and garden views, One bedroom house at Albion 100 m away from the beach with shared pool enclosed garden and wifi is located in Albion. The air-conditioned accommodation is 39 km from Grand Baie, and guests benefit from private parking available on site and free WiFi.

The holiday home features 1 bedroom, a TV with satellite channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a shower.

The holiday home provides a barbecue.

Balaclava is 26 km from One bedroom house at Albion, while Flic-en-Flac is 11 km away. This property will not accommodate hen, stag or similar parties.
A damage deposit of EUR 300 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.",,Parking Free parking internet services BBQ facilities wifi Outdoor pool Free WiFi Air conditioning parking on site Private parking wifi available in all areas Swimming pool,-20.218|57.40213,,91006,https://www.booking.com/hotel/mu/holiday-home-avenue-des-empereurs.html
